"Statistic Label","Week","Mode of Transport","UNIT","VALUE"
"Passenger Journeys","2020 Week 44","Bus, excluding Dublin Metro","Number","204748"
"Passenger Journeys","2020 Week 44","Rail","Number","118406"
"Passenger Journeys","2020 Week 44","All public transport, excluding LUAS","Number","1191582"
"Passenger Journeys","2020 Week 45","Dublin Metro Bus","Number","1163897"
"Passenger Journeys","2020 Week 45","Bus, excluding Dublin Metro","Number","289411"
"Passenger Journeys","2020 Week 45","Rail","Number","181839"
"Passenger Journeys","2020 Week 45","All public transport, excluding LUAS","Number","1635147"
"Passenger Journeys","2020 Week 46","Dublin Metro Bus","Number","1169742"
"Passenger Journeys","2020 Week 46","Bus, excluding Dublin Metro","Number","291201"
"Passenger Journeys","2020 Week 46","Rail","Number","176067"
"Passenger Journeys","2020 Week 46","All public transport, excluding LUAS","Number","1637010"
"Passenger Journeys","2020 Week 47","Dublin Metro Bus","Number","1207986"
"Passenger Journeys","2020 Week 47","Bus, excluding Dublin Metro","Number","302115"
"Passenger Journeys","2020 Week 47","Rail","Number","197427"
"Passenger Journeys","2020 Week 47","All public transport, excluding LUAS","Number","1707528"
"Passenger Journeys","2020 Week 48","Dublin Metro Bus","Number","1241445"
"Passenger Journeys","2020 Week 48","Bus, excluding Dublin Metro","Number","307535"
"Passenger Journeys","2020 Week 48","Rail","Number","194005"
"Passenger Journeys","2020 Week 48","All public transport, excluding LUAS","Number","1742985"
"Passenger Journeys","2020 Week 49","Dublin Metro Bus","Number","1586454"
"Passenger Journeys","2020 Week 49","Bus, excluding Dublin Metro","Number","407988"
"Passenger Journeys","2020 Week 49","Rail","Number","295306"
"Passenger Journeys","2020 Week 49","All public transport, excluding LUAS","Number","2289748"
"Passenger Journeys","2020 Week 50","Dublin Metro Bus","Number","1682988"
"Passenger Journeys","2020 Week 50","Bus, excluding Dublin Metro","Number","436740"
"Passenger Journeys","2020 Week 50","Rail","Number","315393"
"Passenger Journeys","2020 Week 50","All public transport, excluding LUAS","Number","2435121"
"Passenger Journeys","2020 Week 51","Dublin Metro Bus","Number","1745336"
"Passenger Journeys","2020 Week 51","Bus, excluding Dublin Metro","Number","444680"
"Passenger Journeys","2020 Week 51","Rail","Number","322484"
"Passenger Journeys","2020 Week 51","All public transport, excluding LUAS","Number","2512500"
"Passenger Journeys","2020 Week 52","Dublin Metro Bus","Number","1076018"
"Passenger Journeys","2020 Week 52","Bus, excluding Dublin Metro","Number","272410"
"Passenger Journeys","2020 Week 52","Rail","Number","184982"
"Passenger Journeys","2020 Week 52","All public transport, excluding LUAS","Number","1533410"
"Passenger Journeys","2020 Week 53","Dublin Metro Bus","Number","707458"
"Passenger Journeys","2020 Week 53","Bus, excluding Dublin Metro","Number","170366"
"Passenger Journeys","2020 Week 53","Rail","Number","101951"
"Passenger Journeys","2020 Week 53","All public transport, excluding LUAS","Number","979775"
"Passenger Journeys","2021 Week 01","Dublin Metro Bus","Number","747912"
"Passenger Journeys","2021 Week 01","Bus, excluding Dublin Metro","Number","184151"
"Passenger Journeys","2021 Week 01","Rail","Number","107227"
"Passenger Journeys","2021 Week 01","All public transport, excluding LUAS","Number","1039290"
"Passenger Journeys","2021 Week 02","Dublin Metro Bus","Number","735000"
"Passenger Journeys","2021 Week 02","Bus, excluding Dublin Metro","Number","184333"
"Passenger Journeys","2021 Week 02","Rail","Number","90529"
"Passenger Journeys","2021 Week 02","All public transport, excluding LUAS","Number","1009862"
"Passenger Journeys","2021 Week 03","Dublin Metro Bus","Number","731273"
"Passenger Journeys","2021 Week 03","Bus, excluding Dublin Metro","Number","184441"
"Passenger Journeys","2021 Week 03","Rail","Number","93456"
"Passenger Journeys","2021 Week 03","All public transport, excluding LUAS","Number","1009170"
"Passenger Journeys","2021 Week 04","Dublin Metro Bus","Number","742813"
"Passenger Journeys","2021 Week 04","Bus, excluding Dublin Metro","Number","189266"
"Passenger Journeys","2021 Week 04","Rail","Number","93322"
"Passenger Journeys","2021 Week 04","All public transport, excluding LUAS","Number","1025401"
"Passenger Journeys","2021 Week 05","Dublin Metro Bus","Number","791189"
"Passenger Journeys","2021 Week 05","Bus, excluding Dublin Metro","Number","201849"
"Passenger Journeys","2021 Week 05","Rail","Number","105426"
"Passenger Journeys","2021 Week 05","All public transport, excluding LUAS","Number","1098464"
"Passenger Journeys","2021 Week 06","Dublin Metro Bus","Number","775491"
"Passenger Journeys","2021 Week 06","Bus, excluding Dublin Metro","Number","198989"
"Passenger Journeys","2021 Week 06","Rail","Number","96338"
"Passenger Journeys","2021 Week 06","All public transport, excluding LUAS","Number","1070818"
"Passenger Journeys","2021 Week 07","Dublin Metro Bus","Number","849801"
"Passenger Journeys","2021 Week 07","Bus, excluding Dublin Metro","Number","210651"
"Passenger Journeys","2021 Week 07","Rail","Number","114588"
"Passenger Journeys","2021 Week 07","All public transport, excluding LUAS","Number","1175040"
"Passenger Journeys","2021 Week 08","Dublin Metro Bus","Number","884911"
"Passenger Journeys","2021 Week 08","Bus, excluding Dublin Metro","Number","218084"
"Passenger Journeys","2021 Week 08","Rail","Number","127685"
"Passenger Journeys","2021 Week 08","All public transport, excluding LUAS","Number","1230680"
"Passenger Journeys","2021 Week 09","Dublin Metro Bus","Number","947256"
"Passenger Journeys","2021 Week 09","Bus, excluding Dublin Metro","Number","240137"
"Passenger Journeys","2021 Week 09","Rail","Number","142782"
"Passenger Journeys","2021 Week 09","All public transport, excluding LUAS","Number","1330175"
"Passenger Journeys","2021 Week 10","Dublin Metro Bus","Number","945236"
"Passenger Journeys","2021 Week 10","Bus, excluding Dublin Metro","Number","239123"
"Passenger Journeys","2021 Week 10","Rail","Number","134132"
"Passenger Journeys","2021 Week 10","All public transport, excluding LUAS","Number","1318491"
"Passenger Journeys","2021 Week 11","Dublin Metro Bus","Number","963568"
"Passenger Journeys","2021 Week 11","Bus, excluding Dublin Metro","Number","246289"
"Passenger Journeys","2021 Week 11","Rail","Number","144852"
"Passenger Journeys","2021 Week 11","All public transport, excluding LUAS","Number","1354709"
"Passenger Journeys","2021 Week 12","Dublin Metro Bus","Number","1015358"
"Passenger Journeys","2021 Week 12","Bus, excluding Dublin Metro","Number","260235"
"Passenger Journeys","2021 Week 12","Rail","Number","149153"
"Passenger Journeys","2021 Week 12","All public transport, excluding LUAS","Number","1424746"
"Passenger Journeys","2021 Week 13","Dublin Metro Bus","Number","1007971"
"Passenger Journeys","2021 Week 13","Bus, excluding Dublin Metro","Number","259578"
"Passenger Journeys","2021 Week 13","Rail","Number","172949"
"Passenger Journeys","2021 Week 13","All public transport, excluding LUAS","Number","1440498"
"Passenger Journeys","2021 Week 14","Dublin Metro Bus","Number","911592"
"Passenger Journeys","2021 Week 14","Bus, excluding Dublin Metro","Number","239121"
"Passenger Journeys","2021 Week 14","Rail","Number","144048"
"Passenger Journeys","2021 Week 14","All public transport, excluding LUAS","Number","1294761"
"Passenger Journeys","2021 Week 15","Dublin Metro Bus","Number","1173468"
"Passenger Journeys","2021 Week 15","Bus, excluding Dublin Metro","Number","310154"
"Passenger Journeys","2021 Week 15","Rail","Number","225466"
"Passenger Journeys","2021 Week 15","All public transport, excluding LUAS","Number","1709088"
"Passenger Journeys","2021 Week 16","Dublin Metro Bus","Number","1227564"
"Passenger Journeys","2021 Week 16","Bus, excluding Dublin Metro","Number","326905"
"Passenger Journeys","2021 Week 16","Rail","Number","264009"
"Passenger Journeys","2021 Week 16","All public transport, excluding LUAS","Number","1818478"
"Passenger Journeys","2021 Week 17","Dublin Metro Bus","Number","1218011"
"Passenger Journeys","2021 Week 17","Bus, excluding Dublin Metro","Number","322352"
"Passenger Journeys","2021 Week 17","Rail","Number","225261"
"Passenger Journeys","2021 Week 17","All public transport, excluding LUAS","Number","1765624"
"Passenger Journeys","2021 Week 18","Dublin Metro Bus","Number","1096020"
"Passenger Journeys","2021 Week 18","Bus, excluding Dublin Metro","Number","287627"
"Passenger Journeys","2021 Week 18","Rail","Number","216234"
"Passenger Journeys","2021 Week 18","All public transport, excluding LUAS","Number","1599881"
"Passenger Journeys","2021 Week 19","Dublin Metro Bus","Number","1355893"
"Passenger Journeys","2021 Week 19","Bus, excluding Dublin Metro","Number","358853"
"Passenger Journeys","2021 Week 19","Rail","Number","269055"
"Passenger Journeys","2021 Week 19","All public transport, excluding LUAS","Number","1983801"
"Passenger Journeys","2021 Week 20","Dublin Metro Bus","Number","1471313"
"Passenger Journeys","2021 Week 20","Bus, excluding Dublin Metro","Number","391144"
"Passenger Journeys","2021 Week 20","Rail","Number","274137"
"Passenger Journeys","2021 Week 20","All public transport, excluding LUAS","Number","2136594"
"Passenger Journeys","2021 Week 21","Dublin Metro Bus","Number","1562407"
"Passenger Journeys","2021 Week 21","Bus, excluding Dublin Metro","Number","418633"
"Passenger Journeys","2021 Week 21","Rail","Number","366784"
"Passenger Journeys","2021 Week 21","All public transport, excluding LUAS","Number","2347824"
"Passenger Journeys","2021 Week 22","Dublin Metro Bus","Number","1547915"
"Passenger Journeys","2021 Week 22","Bus, excluding Dublin Metro","Number","418168"
"Passenger Journeys","2021 Week 22","Rail","Number","393257"
"Passenger Journeys","2021 Week 22","All public transport, excluding LUAS","Number","2359340"
"Passenger Journeys","2021 Week 23","Dublin Metro Bus","Number","1527611"
"Passenger Journeys","2021 Week 23","Bus, excluding Dublin Metro","Number","411324"
"Passenger Journeys","2021 Week 23","Rail","Number","377568"
"Passenger Journeys","2021 Week 23","All public transport, excluding LUAS","Number","2316503"
"Passenger Journeys","2021 Week 24","Dublin Metro Bus","Number","1623456"
"Passenger Journeys","2021 Week 24","Bus, excluding Dublin Metro","Number","446540"
"Passenger Journeys","2021 Week 24","Rail","Number","371228"
"Passenger Journeys","2021 Week 24","All public transport, excluding LUAS","Number","2441224"
"Passenger Journeys","2021 Week 25","Dublin Metro Bus","Number","1603926"
"Passenger Journeys","2021 Week 25","Bus, excluding Dublin Metro","Number","450941"
"Passenger Journeys","2021 Week 25","Rail","Number","368609"
"Passenger Journeys","2021 Week 25","All public transport, excluding LUAS","Number","2423476"
"Passenger Journeys","2021 Week 26","Dublin Metro Bus","Number","1586039"
"Passenger Journeys","2021 Week 26","Bus, excluding Dublin Metro","Number","447514"
"Passenger Journeys","2021 Week 26","Rail","Number","399131"
"Passenger Journeys","2021 Week 26","All public transport, excluding LUAS","Number","2432684"
"Passenger Journeys","2021 Week 27","Dublin Metro Bus","Number","1558866"
"Passenger Journeys","2021 Week 27","Bus, excluding Dublin Metro","Number","441652"
"Passenger Journeys","2021 Week 27","Rail","Number","359807"
"Passenger Journeys","2021 Week 27","All public transport, excluding LUAS","Number","2360325"
"Passenger Journeys","2021 Week 28","Dublin Metro Bus","Number","1623323"
"Passenger Journeys","2021 Week 28","Bus, excluding Dublin Metro","Number","466323"
"Passenger Journeys","2021 Week 28","Rail","Number","455660"
"Passenger Journeys","2021 Week 28","All public transport, excluding LUAS","Number","2545306"
"Passenger Journeys","2021 Week 29","Dublin Metro Bus","Number","1629341"
"Passenger Journeys","2021 Week 29","Bus, excluding Dublin Metro","Number","465320"
"Passenger Journeys","2021 Week 29","Rail","Number","466402"
"Passenger Journeys","2021 Week 29","All public transport, excluding LUAS","Number","2561063"
"Passenger Journeys","2021 Week 30","Dublin Metro Bus","Number","1595175"
"Passenger Journeys","2021 Week 30","Bus, excluding Dublin Metro","Number","449602"
"Passenger Journeys","2021 Week 30","Rail","Number","387647"
"Passenger Journeys","2021 Week 30","All public transport, excluding LUAS","Number","2432424"
"Passenger Journeys","2021 Week 31","Dublin Metro Bus","Number","1509235"
"Passenger Journeys","2021 Week 31","Bus, excluding Dublin Metro","Number","410910"
"Passenger Journeys","2021 Week 31","Rail","Number","386299"
"Passenger Journeys","2021 Week 31","All public transport, excluding LUAS","Number","2306444"
"Passenger Journeys","2021 Week 32","Dublin Metro Bus","Number","1636634"
"Passenger Journeys","2021 Week 32","Bus, excluding Dublin Metro","Number","457401"
"Passenger Journeys","2021 Week 32","Rail","Number","402833"
"Passenger Journeys","2021 Week 32","All public transport, excluding LUAS","Number","2496868"
"Passenger Journeys","2021 Week 33","Dublin Metro Bus","Number","1655260"
"Passenger Journeys","2021 Week 33","Bus, excluding Dublin Metro","Number","459631"
"Passenger Journeys","2021 Week 33","Rail","Number","396685"
"Passenger Journeys","2021 Week 33","All public transport, excluding LUAS","Number","2511576"
"Passenger Journeys","2021 Week 34","Dublin Metro Bus","Number","1766188"
"Passenger Journeys","2021 Week 34","Bus, excluding Dublin Metro","Number","505692"
"Passenger Journeys","2021 Week 34","Rail","Number","475258"
"Passenger Journeys","2021 Week 34","All public transport, excluding LUAS","Number","2747138"
"Passenger Journeys","2021 Week 35","Dublin Metro Bus","Number","1849382"
"Passenger Journeys","2021 Week 35","Bus, excluding Dublin Metro","Number","507106"
"Passenger Journeys","2021 Week 35","Rail","Number","445064"
"Passenger Journeys","2021 Week 35","All public transport, excluding LUAS","Number","2801552"
"Passenger Journeys","2021 Week 36","Dublin Metro Bus","Number","1919743"
"Passenger Journeys","2021 Week 36","Bus, excluding Dublin Metro","Number","527134"
"Passenger Journeys","2021 Week 36","Rail","Number","454290"
"Passenger Journeys","2021 Week 36","All public transport, excluding LUAS","Number","2901167"
"Passenger Journeys","2021 Week 37","Dublin Metro Bus","Number","1996559"
"Passenger Journeys","2021 Week 37","Bus, excluding Dublin Metro","Number","544763"
"Passenger Journeys","2021 Week 37","Rail","Number","430036"
"Passenger Journeys","2021 Week 37","All public transport, excluding LUAS","Number","2971358"
"Passenger Journeys","2021 Week 38","Dublin Metro Bus","Number","2133682"
"Passenger Journeys","2021 Week 38","Bus, excluding Dublin Metro","Number","578850"
"Passenger Journeys","2021 Week 38","Rail","Number","481469"
"Passenger Journeys","2021 Week 38","All public transport, excluding LUAS","Number","3194001"
"Passenger Journeys","2021 Week 39","Dublin Metro Bus","Number","2200701"
"Passenger Journeys","2021 Week 39","Bus, excluding Dublin Metro","Number","604775"
"Passenger Journeys","2021 Week 39","Rail","Number","516121"
"Passenger Journeys","2021 Week 39","All public transport, excluding LUAS","Number","3321597"
"Passenger Journeys","2021 Week 40","Dublin Metro Bus","Number","2247599"
"Passenger Journeys","2021 Week 40","Bus, excluding Dublin Metro","Number","601080"
"Passenger Journeys","2021 Week 40","Rail","Number","523639"
"Passenger Journeys","2021 Week 40","All public transport, excluding LUAS","Number","3372318"
"Passenger Journeys","2021 Week 41","Dublin Metro Bus","Number","2247417"
"Passenger Journeys","2021 Week 41","Bus, excluding Dublin Metro","Number","613892"
"Passenger Journeys","2021 Week 41","Rail","Number","524870"
"Passenger Journeys","2021 Week 41","All public transport, excluding LUAS","Number","3386179"
"Passenger Journeys","2021 Week 42","Dublin Metro Bus","Number","2260213"
"Passenger Journeys","2021 Week 42","Bus, excluding Dublin Metro","Number","609960"
"Passenger Journeys","2021 Week 42","Rail","Number","462006"
"Passenger Journeys","2021 Week 42","All public transport, excluding LUAS","Number","3332179"
"Passenger Journeys","2021 Week 43","Dublin Metro Bus","Number","1815542"
"Passenger Journeys","2021 Week 43","Bus, excluding Dublin Metro","Number","501525"
"Passenger Journeys","2021 Week 43","Rail","Number","440154"
"Passenger Journeys","2021 Week 43","All public transport, excluding LUAS","Number","2757221"
"Passenger Journeys","2021 Week 44","Dublin Metro Bus","Number","2239515"
"Passenger Journeys","2021 Week 44","Bus, excluding Dublin Metro","Number","588321"
"Passenger Journeys","2021 Week 44","Rail","Number","569327"
"Passenger Journeys","2021 Week 44","All public transport, excluding LUAS","Number","3397163"
"Passenger Journeys","2021 Week 45","Dublin Metro Bus","Number","2258734"
"Passenger Journeys","2021 Week 45","Bus, excluding Dublin Metro","Number","592538"
"Passenger Journeys","2021 Week 45","Rail","Number","570080"
"Passenger Journeys","2021 Week 45","All public transport, excluding LUAS","Number","3421352"
"Passenger Journeys","2021 Week 46","Dublin Metro Bus","Number","2218390"
"Passenger Journeys","2021 Week 46","Bus, excluding Dublin Metro","Number","598813"
"Passenger Journeys","2021 Week 46","Rail","Number","509671"
"Passenger Journeys","2021 Week 46","All public transport, excluding LUAS","Number","3326874"
"Passenger Journeys","2021 Week 47","Dublin Metro Bus","Number","2159300"
"Passenger Journeys","2021 Week 47","Bus, excluding Dublin Metro","Number","573025"
"Passenger Journeys","2021 Week 47","Rail","Number","465963"
"Passenger Journeys","2021 Week 47","All public transport, excluding LUAS","Number","3198288"
"Passenger Journeys","2021 Week 48","Dublin Metro Bus","Number","2126792"
"Passenger Journeys","2021 Week 48","Bus, excluding Dublin Metro","Number","545762"
"Passenger Journeys","2021 Week 48","Rail","Number","465590"
"Passenger Journeys","2021 Week 48","All public transport, excluding LUAS","Number","3138144"
"Passenger Journeys","2021 Week 49","Dublin Metro Bus","Number","1910575"
"Passenger Journeys","2021 Week 49","Bus, excluding Dublin Metro","Number","478897"
"Passenger Journeys","2021 Week 49","Rail","Number","417041"
"Passenger Journeys","2021 Week 49","All public transport, excluding LUAS","Number","2806513"
"Passenger Journeys","2021 Week 50","Dublin Metro Bus","Number","2173422"
"Passenger Journeys","2021 Week 50","Bus, excluding Dublin Metro","Number","586228"
"Passenger Journeys","2021 Week 50","Rail","Number","477149"
"Passenger Journeys","2021 Week 50","All public transport, excluding LUAS","Number","3236799"
"Passenger Journeys","2021 Week 51","Dublin Metro Bus","Number","1496396"
"Passenger Journeys","2021 Week 51","Bus, excluding Dublin Metro","Number","396284"
"Passenger Journeys","2021 Week 51","Rail","Number","278965"
"Passenger Journeys","2021 Week 51","All public transport, excluding LUAS","Number","2171645"
"Passenger Journeys","2021 Week 52","Dublin Metro Bus","Number","1099282"
"Passenger Journeys","2021 Week 52","Bus, excluding Dublin Metro","Number","289588"
"Passenger Journeys","2021 Week 52","Rail","Number","243709"
"Passenger Journeys","2021 Week 52","All public transport, excluding LUAS","Number","1632579"
"Passenger Journeys","2021 Week 53","Dublin Metro Bus","Number",""
"Passenger Journeys","2021 Week 53","Bus, excluding Dublin Metro","Number",""
"Passenger Journeys","2021 Week 53","Rail","Number",""
"Passenger Journeys","2021 Week 53","All public transport, excluding LUAS","Number",""
"Passenger Journeys","2022 Week 01","Dublin Metro Bus","Number","1406243"
"Passenger Journeys","2022 Week 01","Bus, excluding Dublin Metro","Number","365503"
"Passenger Journeys","2022 Week 01","Rail","Number","288051"
"Passenger Journeys","2022 Week 01","All public transport, excluding LUAS","Number","2059797"
"Passenger Journeys","2022 Week 02","Dublin Metro Bus","Number","1779235"
"Passenger Journeys","2022 Week 02","Bus, excluding Dublin Metro","Number","475432"
"Passenger Journeys","2022 Week 02","Rail","Number","357666"
"Passenger Journeys","2022 Week 02","All public transport, excluding LUAS","Number","2612333"
"Passenger Journeys","2022 Week 03","Dublin Metro Bus","Number","1966074"
"Passenger Journeys","2022 Week 03","Bus, excluding Dublin Metro","Number","519750"
"Passenger Journeys","2022 Week 03","Rail","Number","399947"
"Passenger Journeys","2022 Week 03","All public transport, excluding LUAS","Number","2885771"
"Passenger Journeys","2022 Week 04","Dublin Metro Bus","Number","2109953"
"Passenger Journeys","2022 Week 04","Bus, excluding Dublin Metro","Number","550396"
"Passenger Journeys","2022 Week 04","Rail","Number","453379"
"Passenger Journeys","2022 Week 04","All public transport, excluding LUAS","Number","3113728"
"Passenger Journeys","2022 Week 05","Dublin Metro Bus","Number","2180251"
"Passenger Journeys","2022 Week 05","Bus, excluding Dublin Metro","Number","562335"
"Passenger Journeys","2022 Week 05","Rail","Number","524640"
"Passenger Journeys","2022 Week 05","All public transport, excluding LUAS","Number","3267226"
"Passenger Journeys","2022 Week 06","Dublin Metro Bus","Number","2222594"
"Passenger Journeys","2022 Week 06","Bus, excluding Dublin Metro","Number","582446"
"Passenger Journeys","2022 Week 06","Rail","Number","477140"
"Passenger Journeys","2022 Week 06","All public transport, excluding LUAS","Number","3282180"
"Passenger Journeys","2022 Week 07","Dublin Metro Bus","Number","2145226"
"Passenger Journeys","2022 Week 07","Bus, excluding Dublin Metro","Number","527018"
"Passenger Journeys","2022 Week 07","Rail","Number","471325"
"Passenger Journeys","2022 Week 07","All public transport, excluding LUAS","Number","3143569"
"Passenger Journeys","2022 Week 08","Dublin Metro Bus","Number","2104859"
"Passenger Journeys","2022 Week 08","Bus, excluding Dublin Metro","Number","543279"
"Passenger Journeys","2022 Week 08","Rail","Number","533442"
"Passenger Journeys","2022 Week 08","All public transport, excluding LUAS","Number","3181580"
"Passenger Journeys","2022 Week 09","Dublin Metro Bus","Number","2393755"
"Passenger Journeys","2022 Week 09","Bus, excluding Dublin Metro","Number","612819"
"Passenger Journeys","2022 Week 09","Rail","Number","589825"
"Passenger Journeys","2022 Week 09","All public transport, excluding LUAS","Number","3596399"
"Passenger Journeys","2022 Week 10","Dublin Metro Bus","Number","2300757"
"Passenger Journeys","2022 Week 10","Bus, excluding Dublin Metro","Number","572414"
"Passenger Journeys","2022 Week 10","Rail","Number","507442"
"Passenger Journeys","2022 Week 10","All public transport, excluding LUAS","Number","3380613"
"Passenger Journeys","2022 Week 11","Dublin Metro Bus","Number","2121172"
"Passenger Journeys","2022 Week 11","Bus, excluding Dublin Metro","Number","540807"
"Passenger Journeys","2022 Week 11","Rail","Number","580364"
"Passenger Journeys","2022 Week 11","All public transport, excluding LUAS","Number","3242343"
"Passenger Journeys","2022 Week 12","Dublin Metro Bus","Number","2432024"
"Passenger Journeys","2022 Week 12","Bus, excluding Dublin Metro","Number","608648"
"Passenger Journeys","2022 Week 12","Rail","Number","598637"
"Passenger Journeys","2022 Week 12","All public transport, excluding LUAS","Number","3639309"
"Passenger Journeys","2022 Week 13","Dublin Metro Bus","Number","2371286"
"Passenger Journeys","2022 Week 13","Bus, excluding Dublin Metro","Number","591604"
"Passenger Journeys","2022 Week 13","Rail","Number","602411"
"Passenger Journeys","2022 Week 13","All public transport, excluding LUAS","Number","3565301"
"Passenger Journeys","2022 Week 14","Dublin Metro Bus","Number","2450481"
"Passenger Journeys","2022 Week 14","Bus, excluding Dublin Metro","Number","616574"
"Passenger Journeys","2022 Week 14","Rail","Number","581420"
"Passenger Journeys","2022 Week 14","All public transport, excluding LUAS","Number","3648475"
"Passenger Journeys","2022 Week 15","Dublin Metro Bus","Number","2266854"
"Passenger Journeys","2022 Week 15","Bus, excluding Dublin Metro","Number","556672"
"Passenger Journeys","2022 Week 15","Rail","Number","557169"
"Passenger Journeys","2022 Week 15","All public transport, excluding LUAS","Number","3380695"
"Passenger Journeys","2022 Week 16","Dublin Metro Bus","Number","2229079"
"Passenger Journeys","2022 Week 16","Bus, excluding Dublin Metro","Number","570284"
"Passenger Journeys","2022 Week 16","Rail","Number","590864"
"Passenger Journeys","2022 Week 16","All public transport, excluding LUAS","Number","3390227"
"Passenger Journeys","2022 Week 17","Dublin Metro Bus","Number","2471590"
"Passenger Journeys","2022 Week 17","Bus, excluding Dublin Metro","Number","666915"
"Passenger Journeys","2022 Week 17","Rail","Number","599078"
"Passenger Journeys","2022 Week 17","All public transport, excluding LUAS","Number","3737583"
"Passenger Journeys","2022 Week 18","Dublin Metro Bus","Number","2335362"
"Passenger Journeys","2022 Week 18","Bus, excluding Dublin Metro","Number","645649"
"Passenger Journeys","2022 Week 18","Rail","Number","633863"
"Passenger Journeys","2022 Week 18","All public transport, excluding LUAS","Number","3614874"
"Passenger Journeys","2022 Week 19","Dublin Metro Bus","Number","2267822"
"Passenger Journeys","2022 Week 19","Bus, excluding Dublin Metro","Number","681036"
"Passenger Journeys","2022 Week 19","Rail","Number","672546"
"Passenger Journeys","2022 Week 19","All public transport, excluding LUAS","Number","3621404"
"Passenger Journeys","2022 Week 20","Dublin Metro Bus","Number","2454491"
"Passenger Journeys","2022 Week 20","Bus, excluding Dublin Metro","Number","668361"
"Passenger Journeys","2022 Week 20","Rail","Number","650548"
"Passenger Journeys","2022 Week 20","All public transport, excluding LUAS","Number","3773400"
"Passenger Journeys","2022 Week 21","Dublin Metro Bus","Number","2449292"
"Passenger Journeys","2022 Week 21","Bus, excluding Dublin Metro","Number","671051"
"Passenger Journeys","2022 Week 21","Rail","Number","663418"
"Passenger Journeys","2022 Week 21","All public transport, excluding LUAS","Number","3783761"
"Passenger Journeys","2022 Week 22","Dublin Metro Bus","Number","2461534"
"Passenger Journeys","2022 Week 22","Bus, excluding Dublin Metro","Number","675775"
"Passenger Journeys","2022 Week 22","Rail","Number","700921"
"Passenger Journeys","2022 Week 22","All public transport, excluding LUAS","Number","3838230"
"Passenger Journeys","2022 Week 23","Dublin Metro Bus","Number","2417295"
"Passenger Journeys","2022 Week 23","Bus, excluding Dublin Metro","Number","628508"
"Passenger Journeys","2022 Week 23","Rail","Number","646250"
"Passenger Journeys","2022 Week 23","All public transport, excluding LUAS","Number","3692053"
"Passenger Journeys","2022 Week 24","Dublin Metro Bus","Number","2297192"
"Passenger Journeys","2022 Week 24","Bus, excluding Dublin Metro","Number","689753"
"Passenger Journeys","2022 Week 24","Rail","Number","718874"
"Passenger Journeys","2022 Week 24","All public transport, excluding LUAS","Number","3705819"
"Passenger Journeys","2022 Week 25","Dublin Metro Bus","Number","2458431"
"Passenger Journeys","2022 Week 25","Bus, excluding Dublin Metro","Number","672758"
"Passenger Journeys","2022 Week 25","Rail","Number","777823"
"Passenger Journeys","2022 Week 25","All public transport, excluding LUAS","Number","3909012"
"Passenger Journeys","2022 Week 26","Dublin Metro Bus","Number","2456029"
"Passenger Journeys","2022 Week 26","Bus, excluding Dublin Metro","Number","641014"
"Passenger Journeys","2022 Week 26","Rail","Number","723963"
"Passenger Journeys","2022 Week 26","All public transport, excluding LUAS","Number","3821006"
"Passenger Journeys","2022 Week 27","Dublin Metro Bus","Number","2455447"
"Passenger Journeys","2022 Week 27","Bus, excluding Dublin Metro","Number","688352"
"Passenger Journeys","2022 Week 27","Rail","Number","768799"
"Passenger Journeys","2022 Week 27","All public transport, excluding LUAS","Number","3912598"
"Passenger Journeys","2022 Week 28","Dublin Metro Bus","Number","2463379"
"Passenger Journeys","2022 Week 28","Bus, excluding Dublin Metro","Number","693305"
"Passenger Journeys","2022 Week 28","Rail","Number","788475"
"Passenger Journeys","2022 Week 28","All public transport, excluding LUAS","Number","3945159"
"Passenger Journeys","2022 Week 29","Dublin Metro Bus","Number","2437677"
"Passenger Journeys","2022 Week 29","Bus, excluding Dublin Metro","Number","668149"
"Passenger Journeys","2022 Week 29","Rail","Number","780426"
"Passenger Journeys","2022 Week 29","All public transport, excluding LUAS","Number","3886252"
"Passenger Journeys","2022 Week 30","Dublin Metro Bus","Number","2428637"
"Passenger Journeys","2022 Week 30","Bus, excluding Dublin Metro","Number","654034"
"Passenger Journeys","2022 Week 30","Rail","Number","694529"
"Passenger Journeys","2022 Week 30","All public transport, excluding LUAS","Number","3777200"
"Passenger Journeys","2022 Week 31","Dublin Metro Bus","Number","2391497"
"Passenger Journeys","2022 Week 31","Bus, excluding Dublin Metro","Number","599663"
"Passenger Journeys","2022 Week 31","Rail","Number","695776"
"Passenger Journeys","2022 Week 31","All public transport, excluding LUAS","Number","3686936"
"Passenger Journeys","2022 Week 32","Dublin Metro Bus","Number","2569142"
"Passenger Journeys","2022 Week 32","Bus, excluding Dublin Metro","Number","700075"
"Passenger Journeys","2022 Week 32","Rail","Number","776829"
"Passenger Journeys","2022 Week 32","All public transport, excluding LUAS","Number","4046046"
"Passenger Journeys","2022 Week 33","Dublin Metro Bus","Number","2555241"
"Passenger Journeys","2022 Week 33","Bus, excluding Dublin Metro","Number","687677"
"Passenger Journeys","2022 Week 33","Rail","Number","708368"
"Passenger Journeys","2022 Week 33","All public transport, excluding LUAS","Number","3951286"
"Passenger Journeys","2022 Week 34","Dublin Metro Bus","Number","2614443"
"Passenger Journeys","2022 Week 34","Bus, excluding Dublin Metro","Number","719994"
"Passenger Journeys","2022 Week 34","Rail","Number","753379"
