"Statistic Label","Week","Mode of Transport","UNIT","VALUE"
"Passenger Journeys","2019 Week 23","Dublin Metro Bus","Number","2591616"
"Passenger Journeys","2019 Week 23","Bus, excluding Dublin Metro","Number","617748"
"Passenger Journeys","2019 Week 23","Rail","Number",""
"Passenger Journeys","2019 Week 23","All public transport, excluding LUAS","Number","3209364"
"Passenger Journeys","2019 Week 24","Dublin Metro Bus","Number","2844409"
"Passenger Journeys","2019 Week 24","Bus, excluding Dublin Metro","Number","669882"
"Passenger Journeys","2019 Week 24","Rail","Number",""
"Passenger Journeys","2019 Week 24","All public transport, excluding LUAS","Number","3514291"
"Passenger Journeys","2019 Week 25","Dublin Metro Bus","Number","2826773"
"Passenger Journeys","2019 Week 25","Bus, excluding Dublin Metro","Number","680777"
"Passenger Journeys","2019 Week 25","Rail","Number",""
"Passenger Journeys","2019 Week 25","All public transport, excluding LUAS","Number","3507550"
"Passenger Journeys","2019 Week 26","Dublin Metro Bus","Number","2840156"
"Passenger Journeys","2019 Week 26","Bus, excluding Dublin Metro","Number","686867"
"Passenger Journeys","2019 Week 26","Rail","Number",""
"Passenger Journeys","2019 Week 26","All public transport, excluding LUAS","Number","3527023"
"Passenger Journeys","2019 Week 27","Dublin Metro Bus","Number","2953254"
"Passenger Journeys","2019 Week 27","Bus, excluding Dublin Metro","Number","705163"
"Passenger Journeys","2019 Week 27","Rail","Number",""
"Passenger Journeys","2019 Week 27","All public transport, excluding LUAS","Number","3658417"
"Passenger Journeys","2019 Week 28","Dublin Metro Bus","Number","2954091"
"Passenger Journeys","2019 Week 28","Bus, excluding Dublin Metro","Number","713037"
"Passenger Journeys","2019 Week 28","Rail","Number",""
"Passenger Journeys","2019 Week 28","All public transport, excluding LUAS","Number","3667128"
"Passenger Journeys","2019 Week 29","Dublin Metro Bus","Number","2895372"
"Passenger Journeys","2019 Week 29","Bus, excluding Dublin Metro","Number","701340"
"Passenger Journeys","2019 Week 29","Rail","Number",""
"Passenger Journeys","2019 Week 29","All public transport, excluding LUAS","Number","3596712"
"Passenger Journeys","2019 Week 30","Dublin Metro Bus","Number","2939485"
"Passenger Journeys","2019 Week 30","Bus, excluding Dublin Metro","Number","713657"
"Passenger Journeys","2019 Week 30","Rail","Number",""
"Passenger Journeys","2019 Week 30","All public transport, excluding LUAS","Number","3653142"
"Passenger Journeys","2019 Week 31","Dublin Metro Bus","Number","2725260"
"Passenger Journeys","2019 Week 31","Bus, excluding Dublin Metro","Number","680616"
"Passenger Journeys","2019 Week 31","Rail","Number",""
"Passenger Journeys","2019 Week 31","All public transport, excluding LUAS","Number","3405876"
"Passenger Journeys","2019 Week 32","Dublin Metro Bus","Number","2547806"
